
//Drizzt Saga Area Links Table - BG-BGT-WM/BG1 version (full)
SRC_AREA SRC_NWSE TARGET_ARE ENTRY_NAME   TRV_TIME DEF_ENTRY ENC1 ENC2 ENC3 ENC4 ENC5 ENC_PROB

AR1000   E        F_7777     #WMtravel    6        1         N    N    N    N    N    0
AR1000   E        F_0111     #WMtravel    4        1         N    N    N    N    N    0
AR1000   E        F_0222     #WMtravel    4        1         N    N    N    N    N    0
AR1000   E        F_9898     #WMtravel    6        1         N    N    N    N    N    0

F_0111   S        AR1000     Exit1400     4        1         N    N    N    N    N    0
F_0222   S        AR1000     Exit1400     4        1         N    N    N    N    N    0
F_7777   S        AR1000     Exit1400     6        1         N    N    N    N    N    0
F_9898   S        AR1000     Exit1400     6        1         N    N    N    N    N    0
F_7779   S        AR1000     Exit1400     6        1         N    N    N    N    N    0

F_0111   N        F_0112     #Gianthill01 1        1         N    N    N    N    N    0
F_0111   S        F_0222     #WMtravel    4        1         N    N    N    N    N    0
F_0111   S        F_7777     #WMtravel    4        1         N    N    N    N    N    0
F_0111   S        F_7779     #Icewind03   4        1         N    N    N    N    N    0
F_0111   S        F_9898     #WMtravel    4        1         N    N    N    N    N    0
F_0112   S        F_0111     #Gianthill02 1        1         N    N    N    N    N    0
F_0112   N        F_0115     #ToSpirit01  1        1         N    N    N    N    N    0
F_0115   S        F_0112     #ToSpirit02  1        1         N    N    N    N    N    0
F_0222   S        F_0111     #WMtravel    4        1         N    N    N    N    N    0
F_0222   S        F_7777     #WMtravel    8        1         N    N    N    N    N    0
F_0222   S        F_9898     #WMtravel    8        1         N    N    N    N    N    0
F_0222   S        F_7779     #Icewind03   4        1         N    N    N    N    N    0
F_7777   S        F_0111     #WMtravel    4        1         N    N    N    N    N    0
F_7777   S        F_0222     #WMtravel    8        1         N    N    N    N    N    0
F_7777   N        F_7779     #Icewind03   4        1         N    N    N    N    N    0
F_7777   S        F_9898     #WMtravel    2        1         N    N    N    N    N    0
F_9898   S        F_0111     #WMtravel    4        1         N    N    N    N    N    0
F_9898   S        F_0222     #WMtravel    8        1         N    N    N    N    N    0
F_9898   S        F_7777     #WMtravel    2        1         N    N    N    N    N    0
F_9898   S        F_7779     #Icewind03   2        1         N    N    N    N    N    0
F_7779   S        F_0111     #WMtravel    4        1         N    N    N    N    N    0
F_7779   S        F_0222     #WMtravel    4        1         N    N    N    N    N    0
F_7779   S        F_7777     #WMtravel    4        1         N    N    N    N    N    0
F_7779   S        F_9898     #WMtravel    2        1         N    N    N    N    N    0
F_7779   N        F_8888     #Crate01     2        1         N    N    N    N    N    0
F_8888   S        F_7779     #Crateout    2        1         N    N    N    N    N    0
